CONST.,TYPE,NGC DESIGNATION,OTHER NAME(S),R.A.,DEC.,MAG,MAX SZ,MIN SZ,Name catalog,Name number (with zeros),Name normalized,IC name,M name,Name number
CRV,GAL,NGC4783,"3C278,H I 136     ",12 54.6,-12 34,11.5,2.3,1.3,NGC,,,,,
CVN,GAL,NGC4111,UGC 7103         ,12 07.0,+43 04,10.7,4.6,1.0,NGC,,,,,
CVN,GAL,NGC4214,NGC4228,12 15.6,+36 20,9.1,9.6,8.1,NGC,,,,,
CVN,GAL,NGC4244,UGC 7322/Silver Needle Galaxy/SHERMAN WAY GAL. ,12 17.5,+37 48,10.4,15.9,1.8,NGC,,,,,
CVN,GAL,NGC4258,M106,12 19.0,+47 18,8.4,17.4,6.6,NGC,,,,,
CVN,GAL,NGC4346,UGC 7463         ,12 23.5,+47 00,11.1,3.2,1.3,NGC,,,,,
CVN,GAL,NGC4449,UGC 7592/THE BOX GALAXY     ,12 28.2,+44 06,9.6,6.2,4.9,NGC,,,,,
CVN,GAL,NGC4485,UGC 7648./COCOON GAL.      ,12 30.5,+41 42,11.9,2.4,1.8,NGC,,,,,
CVN,GAL,NGC4490,COCOON GALAXY,12 30.6,+41 39,9.8,6.4,3.2,NGC,,,,,
CVN,GAL,NGC4618,IC 3667           ,12 41.6,+41 09,10.8,4.2,3.4,NGC,,,,,
CVN,GAL,NGC4625,IC 3675           ,12 41.9,+41 16,12.4,2.3,1.9,NGC,,,,,
CVN,GAL,NGC4627,"UGC 7860  immediately adjacent to 4631, THE CLUB W/4631/THE PUP""    ",12 42.0,+32 34,12.4,2.2,1.7,NGC,,,,,
CVN,GAL,NGC4631,THE WHALE GALAXY,12 42.1,+32 32,9.2,15.2,2.8,NGC,,,,,
CVN,GAL,NGC4656/4657,HOCKEY STICK GALAXY/FISHHOOK GALAXY,12 44.0,+32 10,10.5,15.3,2.4,NGC,,,,,
CVN,GAL,NGC4736,M94 CROC'S EYE GALAXY,12 50.9,+41 07,8.2,12.3,10.8,NGC,,,,,
CVN,GAL,NGC5005,UGC 8256         ,13 10.9,+37 03,9.8,5.8,2.9,NGC,,,,,
CVN,GAL,NGC5055,M63 SUNFLOWER GALAXY,13 15.8,+42 02,8.6,12.6,7.5,NGC,,,,,
CVN,GAL,NGC5194,M51 The Whirlpool galaxy,13 29.9,+47 12,8.4,10.8,6.6,NGC,,,,,
CVN,GAL,NGC5195,UGC 8494         ,13 30.0,+47 16,9.6,5.9,4.6,NGC,,,,,
CVN,GC,NGC5272,M3,13 42.2,+28 23,6.3,18.0,18.0,NGC,,,,,
CYG,OC,NGC6811,THE SMOKE RING CLUSTER,19 37.2,+46 23,6.8,15.0,15.0,NGC,,,,,
CYG,OC,NGC6819,OCL  155/FOXHEAD NEB          ,19 41.3,+40 11,7.3,5.0,5.0,NGC,,,,,
CYG,PN,NGC6826,Blinking Planetary,19 44.8,+50 32,8.8,0.45,0.4,NGC,,,,,
CYG,OC,NGC6834,OCL  134          ,19 52.2,+29 24,7.8,6.0,6.0,NGC,,,,,
CYG,OC,NGC6866,KITE CLUSTER,20 03.9,+44 09,7.6,20.0,10.0,NGC,,,,,
