CONST.,TYPE,NGC DESIGNATION,OTHER NAME(S),R.A.,DEC.,MAG,MAX SZ,MIN SZ,Name catalog,Name number (with zeros),Name normalized,IC name,M name,Name number,Types_OpenNGC,Best_500
Com,GAL,NGC4725,UGC 7989 /TI-FIGHTER GAL        ,12 50.4,+25 30,9.4,10.4,7.2,NGC,4725,NGC 4725,,,4725,G,True
Com,GAL,NGC4826,M64 BLACK EYE GALAXY/SLEEPING BEAUTY GAL.,12 56.7,+21 41,8.5,10.3,5.0,M,64,M 64,,M 64,64,G,True
Com,GC,NGC5024,M53,13 12.9,+18 10,7.7,13.0,13.0,M,53,M 53,,M 53,53,GCl,True
Com,GC,NGC5053,nan,13 16.5,+17 42,9,10.0,10.0,NGC,5053,NGC 5053,,,5053,GCl,True
Cra,BN,NGC6726,ESO 396-N13       ,19 01.7,-36 53,?,2.0,2.0,NGC,6726,NGC 6726,,,6726,Neb,True
Crt,GAL,NGC3511,ESO 502-13        ,11 03.4,-23 05,11,6.0,2.1,NGC,3511,NGC 3511,,,3511,G,True
Crt,GAL,NGC3672,MCG - 2-29- 28    ,11 25.0,-09 48,11.4,4.0,1.8,NGC,3672,NGC 3672,,,3672,G,True
Crt,GAL,NGC3887,MCG - 3-30- 12    ,11 47.1,-16 51,10.6,3.5,2.7,NGC,3887,NGC 3887,,,3887,G,True
Crt,GAL,NGC3955,ESO 504-26        ,11 54.0,-23 10,11.9,3.1,1.0,NGC,3955,NGC 3955,,,3955,G,True
Crt,GAL,NGC3962,MCG - 2-30- 40    ,11 54.7,-13 59,10.7,3.4,2.8,NGC,3962,NGC 3962,,,3962,G,True
Crv,GAL,NGC4027,ESO 572-37        ,11 59.5,-19 16,11.1,3.3,2.4,NGC,4027,NGC 4027,,,4027,G,True
Crv,GAL,NGC4038,Antennae/RINGTAIL GALAXIES/MOSQUITO LARVAE/PUPA/COMMA GALS,12 01.9,-18 52,10.3,3.4,2.0,NGC,4038,NGC 4038,,,4038,G,True
Crv,GAL,NGC4039,Antennae/RINGTAIL GALAXIES/MOSQUITO LARVAE/PUPA/COMMA GALS,12 01.9,-18 53,10.6,3.3,1.7,NGC,4039,NGC 4039,,,4039,G,True
Crv,PN,NGC4361,"ESO 573-PN19 ,LAWN SPRINKLER""    ",12 24.5,-18 47,10.9,1.33,1.33,NGC,4361,NGC 4361,,,4361,PN,True
Crv,GAL,NGC4782,MCG - 2-33- 50    ,12 54.6,-12 34,11.7,2.3,1.3,NGC,4782,NGC 4782,,,4782,G,True
Crv,GAL,NGC4783,"3C278,H I 136     ",12 54.6,-12 34,11.5,2.3,1.3,NGC,4783,NGC 4783,,,4783,G,True
Cvn,GAL,NGC4111,UGC 7103         ,12 07.0,+43 04,10.7,4.6,1.0,NGC,4111,NGC 4111,,,4111,G,True
Cvn,GAL,NGC4214,NGC4228,12 15.6,+36 20,9.1,9.6,8.1,NGC,4214,NGC 4214,,,4214,G,True
Cvn,GAL,NGC4244,UGC 7322/Silver Needle Galaxy/SHERMAN WAY GAL. ,12 17.5,+37 48,10.4,15.9,1.8,NGC,4244,NGC 4244,,,4244,G,True
Cvn,GAL,NGC4258,M106,12 19.0,+47 18,8.4,17.4,6.6,M,106,M 106,,M 106,106,G,True
Cvn,GAL,NGC4346,UGC 7463         ,12 23.5,+47 00,11.1,3.2,1.3,NGC,4346,NGC 4346,,,4346,G,True
Cvn,GAL,NGC4449,UGC 7592/THE BOX GALAXY     ,12 28.2,+44 06,9.6,6.2,4.9,NGC,4449,NGC 4449,,,4449,G,True
Cvn,GAL,NGC4485,UGC 7648./COCOON GAL.      ,12 30.5,+41 42,11.9,2.4,1.8,NGC,4485,NGC 4485,,,4485,G,True
Cvn,GAL,NGC4490,COCOON GALAXY,12 30.6,+41 39,9.8,6.4,3.2,NGC,4490,NGC 4490,,,4490,G,True
Cvn,GAL,NGC4618,IC 3667           ,12 41.6,+41 09,10.8,4.2,3.4,NGC,4618,NGC 4618,,,4618,G,True
Cvn,GAL,NGC4625,IC 3675           ,12 41.9,+41 16,12.4,2.3,1.9,NGC,4625,NGC 4625,,,4625,G,True
Cvn,GAL,NGC4627,"UGC 7860  immediately adjacent to 4631, THE CLUB W/4631/THE PUP""    ",12 42.0,+32 34,12.4,2.2,1.7,NGC,4627,NGC 4627,,,4627,G,True
Cvn,GAL,NGC4631,THE WHALE GALAXY,12 42.1,+32 32,9.2,15.2,2.8,NGC,4631,NGC 4631,,,4631,G,True
Cvn,GAL,NGC4656/4657,HOCKEY STICK GALAXY/FISHHOOK GALAXY,12 44.0,+32 10,10.5,15.3,2.4,NGC,4656,NGC 4656,,,4656,G,True
Cvn,GAL,NGC4736,M94 CROC'S EYE GALAXY,12 50.9,+41 07,8.2,12.3,10.8,M,94,M 94,,M 94,94,G,True
Cvn,GAL,NGC5005,UGC 8256         ,13 10.9,+37 03,9.8,5.8,2.9,NGC,5005,NGC 5005,,,5005,G,True
Cvn,GAL,NGC5055,M63 SUNFLOWER GALAXY,13 15.8,+42 02,8.6,12.6,7.5,M,63,M 63,,M 63,63,G,True
