Name normalized,Catalog,Name,Name (no leading zero),Name (final),NGC/ID,Type,Common Name,Mag,RA,Dec,Width ('),Height ('),IC,IC name,NGC,NGC name,mike
M 34,Messier,M 034,M 34,M 34,1039,Oc,,5.5,02:02:00,42.78,35.0,35.0,,,1039,NGC 1039,True
NGC 1432,NGC,NGC 1432,NGC 1432,NGC 1432,1432,Nb,Maia nebula,,03:45:48,24.37,30.0,30.0,,,1432,NGC 1432,True
NGC 1435,NGC,NGC 1435,NGC 1435,NGC 1435,1435,Nb,Merope nebula,,03:46:06,23.78,30.0,30.0,,,1435,NGC 1435,True
NGC 1499,NGC,NGC 1499,NGC 1499,NGC 1499,1499,Nb,California nebula,,04:00:42,36.62,145.0,145.0,,,1499,NGC 1499,True
NGC 1502,NGC,NGC 1502,NGC 1502,NGC 1502,1502,Oc,Jolly Roger Cluster,6,04:07:49,62.33,20.0,20.0,,,1502,NGC 1502,True
NGC 1528,NGC,NGC 1528,NGC 1528,NGC 1528,1528,OC,,6,04:15:24,51.23,24.0,24.0,,,1528,NGC 1528,True
NGC 1545,NGC,NGC 1545,NGC 1545,NGC 1545,1545,OC,,6,04:20:54,50.25,18.0,18.0,,,1545,NGC 1545,True
NGC 1582,NGC,NGC 1582,NGC 1582,NGC 1582,1582,OC,,7,04:32:00,43.85,37.0,37.0,,,1582,NGC 1582,True
NGC 1647,NGC,NGC 1647,NGC 1647,NGC 1647,1647,OC,Pirate Moon Cluster,6,04:46:00,19.07,45.0,45.0,,,1647,NGC 1647,True
NGC 1662,NGC,NGC 1662,NGC 1662,NGC 1662,1662,OC,,6,04:48:30,10.93,20.0,20.0,,,1662,NGC 1662,True
NGC 1664,NGC,NGC 1664,NGC 1664,NGC 1664,1664,OC,,7,04:51:06,43.7,18.0,18.0,,,1664,NGC 1664,True
NGC 1746,NGC,NGC 1746,NGC 1746,NGC 1746,1746,OC,,6,05:03:36,23.82,42.0,42.0,,,1746,NGC 1746,True
NGC 1763,NGC,NGC 1763,NGC 1763,NGC 1763,1763,Nb,,,04:56:48,-65.6,25.0,25.0,,,1763,NGC 1763,True
NGC 1909,IC,IC 2118,NGC 1909,IC 2118 = NGC 1909,1909,Nb,Witch Head nebula,,05:06:54,-6.78,180.0,180.0,,,1909,NGC 1909,True
M 38,Messier,M 038,M 38,M 38,1912,Oc,,7.4,05:08:42,35.83,21.0,21.0,,,1912,NGC 1912,True
M 42,Messier,M 042,M 42,M 42,1976,Di,Great Nebula in Orion,4,05:05:24,-5.45,85.0,60.0,,,1976,NGC 1976,True
NGC 1977,NGC,NGC 1977,NGC 1977,NGC 1977,1977,Nb,Running Man,,05:35:30,-3.13,20.0,20.0,,,1977,NGC 1977,True
NGC 1981,NGC,NGC 1981,NGC 1981,NGC 1981,1981,OC,,4,05:35:12,-3.57,25.0,25.0,,,1981,NGC 1981,True
M 43,Messier,M 043,M 43,M 43,1982,Di,De Mairan's Nebula,9,05:05:36,-5.27,20.0,15.0,,,1982,NGC 1982,True
NGC 2024,NGC,NGC 2024,NGC 2024,NGC 2024,2024,Nb,Flame Nebula,,05:41:54,-0.15,30.0,30.0,,,2024,NGC 2024,True
NGC 2070,Caldwell,C 103,C 103,C 103,2070,Bn,Tarantula Nebula, ,05:38:42,-69.1,40.0,25.0,,,2070,NGC 2070,True
M 37,Messier,M 037,M 37,M 37,2099,Oc,,6.2,05:02:24,32.55,24.0,24.0,,,2099,NGC 2099,True
M 35,Messier,M 035,M 35,M 35,2168,Oc,,5.3,06:08:54,24.33,28.0,28.0,,,2168,NGC 2168,True
NGC 2174,NGC,NGC 2174,NGC 2174,NGC 2174,2174,Nb,,,06:09:42,20.5,40.0,40.0,,,2174,NGC 2174,True
NGC 2175,NGC,NGC 2175,NGC 2175,NGC 2175,2175,OC,,6,06:09:48,20.32,18.0,18.0,,,2175,NGC 2175,True
NGC 2232,NGC,NGC 2232,NGC 2232,NGC 2232,2232,OC,,3,06:26:36,-3.25,30.0,30.0,,,2232,NGC 2232,True
NGC 2237,Caldwell,C 049,C 49,C 49,2237,Bn,Rosette Nebula,-,06:32:18,5.05,80.0,60.0,,,2237,NGC 2237,True
NGC 2239,Caldwell,C 050,C 50,C 50,2239,Oc,,4.8,06:32:24,4.87,24.0,24.0,,,2239,NGC 2239,True
NGC 2252,NGC,NGC 2252,NGC 2252,NGC 2252,2252,OC,,8,06:35:00,5.38,20.0,20.0,,,2252,NGC 2252,True
NGC 2264,NGC,NGC 2264,NGC 2264,NGC 2264,2264,C+N,Christmas Tree cluster,3,06:41:06,9.88,60.0,60.0,,,2264,NGC 2264,True
M 41,Messier,M 041,M 41,M 41,2287,Oc,,4.6,06:07:00,-20.73,38.0,38.0,,,2287,NGC 2287,True
NGC 2331,NGC,NGC 2331,NGC 2331,NGC 2331,2331,OC,,9,07:07:12,27.35,18.0,18.0,,,2331,NGC 2331,True
NGC 2353,NGC,NGC 2353,NGC 2353,NGC 2353,2353,OC,,7,07:14:36,-9.7,20.0,20.0,,,2353,NGC 2353,True
NGC 2354,NGC,NGC 2354,NGC 2354,NGC 2354,2354,OC,,6,07:14:18,-24.27,20.0,20.0,,,2354,NGC 2354,True
NGC 2374,NGC,NGC 2374,NGC 2374,NGC 2374,2374,OC,,8,07:24:00,-12.73,19.0,19.0,,,2374,NGC 2374,True
NGC 2403,Caldwell,C 007,C 7,C 7,2403,Sp,,8.9,07:36:54,65.6,18.0,10.0,,,2403,NGC 2403,True
M 47,Messier,M 047,M 47,M 47,2422,Oc,,5.2,07:06:36,-14.5,30.0,30.0,,,2422,NGC 2422,True
NGC 2423,NGC,NGC 2423,NGC 2423,NGC 2423,2423,OC,,6,07:37:06,-12.13,19.0,19.0,,,2423,NGC 2423,True
M 46,Messier,M 046,M 46,M 46,2437,Oc,,6,07:01:48,-14.82,27.0,27.0,,,2437,NGC 2437,True
M 93,Messier,M 093,M 93,M 93,2447,Oc,,6,07:04:36,-23.87,22.0,22.0,,,2447,NGC 2447,True
NGC 2451,NGC,NGC 2451,NGC 2451,NGC 2451,2451,OC,,2,07:45:24,-36.03,45.0,45.0,,,2451,NGC 2451,True
NGC 2477,Caldwell,C 071,C 71,C 71,2477,Oc,,5.8,07:52:18,-38.55,27.0,27.0,,,2477,NGC 2477,True
NGC 2516,Caldwell,C 096,C 96,C 96,2516,Oc,,3.8,07:58:18,-60.87,30.0,30.0,,,2516,NGC 2516,True
NGC 2520,NGC,NGC 2527,NGC 2520,NGC 2527,2520,OC,,6,08:05:18,-27.83,22.0,22.0,,,2520,NGC 2520,True
NGC 2539,NGC,NGC 2539,NGC 2539,NGC 2539,2539,OC,,6,08:10:42,-11.17,22.0,22.0,,,2539,NGC 2539,True
NGC 2546,NGC,NGC 2546,NGC 2546,NGC 2546,2546,OC,,6,08:12:24,-36.37,41.0,41.0,,,2546,NGC 2546,True
NGC 2547,NGC,NGC 2547,NGC 2547,NGC 2547,2547,OC,,4,08:10:42,-48.73,20.0,20.0,,,2547,NGC 2547,True
M 48,Messier,M 048,M 48,M 48,2548,Oc,,5.5,08:03:48,-5.8,54.0,54.0,,,2548,NGC 2548,True
M 44,Messier,M 044,M 44,M 44,2632,Oc,Beehive Cluster,3.7,08:00:06,19.98,95.0,95.0,,,2632,NGC 2632,True
M 67,Messier,M 067,M 67,M 67,2682,Oc,,6.1,08:00:24,11.82,30.0,30.0,,,2682,NGC 2682,True
M 67,NGC,NGC 2682,NGC 2682,NGC 2682 = M 67,2682,OC,M  67,6,08:50:24,11.82,30.0,30.0,,,2682,NGC 2682,True
M 81,Messier,M 081,M 81,M 81,3031,Sp,Bode's Galaxy,6.9,09:05:36,69.07,21.0,10.0,,,3031,NGC 3031,True
NGC 3114,NGC,NGC 3114,NGC 3114,NGC 3114,3114,OC,,4,10:02:42,-59.88,35.0,35.0,,,3114,NGC 3114,True
NGC 3199,NGC,NGC 3199,NGC 3199,NGC 3199,3199,Nb,,,10:17:06,-56.08,22.0,22.0,,,3199,NGC 3199,True
NGC 3201,Caldwell,C 079,C 79,C 79,3201,Gc,,6.7,10:17:36,-46.42,18.0,18.0,,,3201,NGC 3201,True
NGC 3228,NGC,NGC 3228,NGC 3228,NGC 3228,3228,OC,,6,10:21:48,-50.28,18.0,18.0,,,3228,NGC 3228,True
NGC 3242,NGC,NGC 3242,NGC 3242,NGC 3242 = C 59,3242,Pl,Ghost of Jupiter,9,10:24:48,-17.37,20.8,20.8,,,3242,NGC 3242,True
NGC 3293,NGC,NGC 3293,NGC 3293,NGC 3293,3293,C+N,,4,10:35:48,-57.77,40.0,40.0,,,3293,NGC 3293,True
NGC 3372,Caldwell,C 092,C 92,C 92,3372,Bn,Eta Carinae Nebula,6.2,10:43:48,-59.87,120.0,120.0,,,3372,NGC 3372,True
NGC 3532,Caldwell,C 091,C 91,C 91,3532,Oc,,3,11:06:24,-58.67,55.0,55.0,,,3532,NGC 3532,True
NGC 3572,NGC,NGC 3572,NGC 3572,NGC 3572,3572,C+N,,6,11:10:24,-59.77,20.0,20.0,,,3572,NGC 3572,True
NGC 3576,NGC,NGC 3576,NGC 3576,NGC 3576,3576,Nb,,,11:11:48,-60.62,20.0,20.0,,,3576,NGC 3576,True
NGC 4236,Caldwell,C 003,C 3,C 3,4236,Sb,,9.7,12:16:42,69.47,21.0,7.0,,,4236,NGC 4236,True
M 106,Messier,M 106,M 106,M 106,4258,Sp,,8.4,12:08:54,47.32,19.0,8.0,,,4258,NGC 4258,True
NGC 4372,Caldwell,C 108,C 108,C 108,4372,Gc,,7.8,12:25:48,-72.67,19.0,19.0,,,4372,NGC 4372,True
NGC 5128,Caldwell,C 077,C 77,C 77,5128,Px,Centaurus A,7,13:25:30,-43.02,18.0,14.0,,,5128,NGC 5128,True
NGC 5139,Caldwell,C 080,C 80,C 80,5139,Gc,Omega Centauri,3.6,13:26:48,-47.48,36.0,36.0,,,5139,NGC 5139,True
NGC 5299,NGC,NGC 5299,NGC 5299,NGC 5299,5299,Ast,,,13:50:24,-58.07,30.0,30.0,,,5299,NGC 5299,True
M 101,Messier,M 101,M 101,M 101,5457,Sp,Pinwheel Galaxy,7.9,14:03:12,54.35,22.0,22.0,,,5457,NGC 5457,True
NGC 5460,NGC,NGC 5460,NGC 5460,NGC 5460,5460,OC,,5,14:07:36,-47.68,25.0,25.0,,,5460,NGC 5460,True
NGC 5822,NGC,NGC 5822,NGC 5822,NGC 5822,5822,OC,,7,15:05:12,-53.65,40.0,40.0,,,5822,NGC 5822,True
M 4,Messier,M 004,M 4,M 4,6121,Gc,,5.6,16:03:36,-26.53,26.3,26.3,,,6121,NGC 6121,True
NGC 6124,Caldwell,C 075,C 75,C 75,6124,Oc,,5.8,16:25:36,-40.67,29.0,29.0,,,6124,NGC 6124,True
NGC 6152,NGC,NGC 6152,NGC 6152,NGC 6152,6152,OC,,8,16:32:42,-51.38,30.0,30.0,,,6152,NGC 6152,True
