Name,Type,RA,Dec,Const,MajAx,MinAx,V-Mag,M,NGC,IC,Common names,Name catalog,Name number (with zeros),Name normalized,IC name,M name,Name number,Catalog,Name_MIKE,Name (no leading zero),Name (final),NGC/ID,Type_MIKE,Common Name,Mag,RA_MIKE,Dec_MIKE,Width ('),Height ('),IC_MIKE,IC name_MIKE,NGC_MIKE,NGC name,mike,CONST.,NGC DESIGNATION,OTHER NAME(S),R.A.,DEC.,MAG_500,MAX SZ,MIN SZ,Name catalog_500,Name number_500,Types_OpenNGC,Best_500,Notes
NGC6273,GCl,17:02:37.68,-26:16:04.6,Oph,7.5,,5.57,19,,,,M,6273,M 19,,,19.0,,,,,,,,,,,,,,,,,,Oph,NGC6273,M19,17 02.6,-26 16,6.8,17.0,17.0,M,19.0,GCl,True,large_dso
NGC7089,GCl,21:33:27.01,-00:49:23.9,Aqr,8.4,,6.25,2,,,,M,7089,M 2,,,2.0,,,,,,,,,,,,,,,,,,Aqr,NGC7089,M2,21 33.5,-00 49,6.6,16.0,16.0,M,2.0,GCl,True,large_dso
NGC6514,Neb,18:02:42.11,-22:58:18.8,Sgr,28.0,28.0,8.5,20,,,Trifid Nebula,M,6514,M 20,,,20.0,Messier,M 020,M 20,M 20,6514,Di,Trifid Nebula,9,18:02:36,-23.03,28.0,28.0,,,6514.0,NGC 6514,True,Sgr,NGC6514,M20 TRIFID NEBULA,18 02.5,-23 01,6.3,30.0,30.0,M,20.0,Cl+N,True,large_dso
NGC6531,OCl,18:04:13.45,-22:29:24.2,Sgr,6.0,,5.9,21,,,,M,6531,M 21,,,21.0,,,,,,,,,,,,,,,,,,Sgr,NGC6531,M21,18 04.2,-22 30,5.9,16.0,16.0,M,21.0,OCl,True,large_dso
NGC6656,GCl,18:36:24.20,-23:54:12.3,Sgr,12.6,,6.17,22,,,,M,6656,M 22,,,22.0,Messier,M 022,M 22,M 22,6656,Gc,Sagittarius Cluster,5.1,18:06:24,-23.9,24.0,24.0,,,6656.0,NGC 6656,True,Sgr,NGC6656,M22 GREAT SAGITTARIUS CLUSTER,18 36.4,-23 54,5.2,32.0,32.0,M,22.0,GCl,True,large_dso
NGC6494,OCl,17:57:04.77,-18:59:07.2,Sgr,16.8,,5.5,23,,,,M,6494,M 23,,,23.0,Messier,M 023,M 23,M 23,6494,Oc,,6.9,17:06:48,-19.02,27.0,27.0,,,6494.0,NGC 6494,True,Sgr,NGC6494,M23,17 56.9,-19 01,5.5,25.0,25.0,M,23.0,OCl,True,large_dso
IC4715,*Ass,18:16:56.12,-18:30:52.4,Sgr,120.0,60.0,4.5,24,,,Small Sgr Star Cloud,M,4715,M 24,IC 4715,,24.0,IC,IC 4715,IC 4715,IC 4715 = M 24,I4715,C+N,,,18:26:12,-17.57,30.0,30.0,4715,IC 4715,,,True,,,,,,,,,,,,,large_dso
IC4715,*Ass,18:16:56.12,-18:30:52.4,Sgr,120.0,60.0,4.5,24,,,Small Sgr Star Cloud,M,4715,M 24,IC 4715,,24.0,Messier,M 024,M 24,M 24,,MW,Sagittarius Star Cloud,4.6,18:06:54,-18.5,90.0,90.0,,,,,True,,,,,,,,,,,,,large_dso
IC4725,OCl,18:31:46.77,-19:06:53.8,Sgr,14.1,,4.6,25,,,,M,4725,M 25,IC 4725,,25.0,IC,IC 4725,IC 4725,IC 4725 = M 25,I4725,OC,M  25,4,18:31:36,-18.75,32.0,32.0,4725,IC 4725,,,True,Sgr,IC4725,M25,18 31.8,-19 07,4.6,26.0,26.0,M,25.0,OCl,True,large_dso
IC4725,OCl,18:31:46.77,-19:06:53.8,Sgr,14.1,,4.6,25,,,,M,4725,M 25,IC 4725,,25.0,Messier,M 025,M 25,M 25,IC4725,Oc,,6.5,18:01:36,-19.25,40.0,40.0,C4725,IC C4725,,,True,Sgr,IC4725,M25,18 31.8,-19 07,4.6,26.0,26.0,M,25.0,OCl,True,large_dso
